Palabra,Sentimiento
Culpa,Negativo
Remordimiento,Negativo
Pérdida,Negativo
Ruina,Negativo
Pobreza,Negativo
Miseria,Negativo
Desgracia,Negativo
Fatal,Negativo
Pésimo,Negativo
Horrible,Negativo
Espantoso,Negativo
Lamentable,Negativo
Injusticia,Negativo
Corrupción,Negativo
Ilegal,Negativo
Delito,Negativo
Crimen,Negativo
Cárcel,Negativo
Castigo,Negativo
Pecado,Negativo
Infierno,Negativo
Enfermedad,Negativo
Virus,Negativo
Pandemia,Negativo
Contagio,Negativo
Luto,Negativo
Llanto,Negativo
Queja,Negativo
Problema,Negativo
Caos,Negativo
Desorden,Negativo
Sucio,Negativo
Feo,Negativo
Negativo,Negativo
Nocivo,Negativo
Dañino,Negativo
Peligro,Negativo
Riesgo,Negativo
Inseguridad,Negativo
Desconfianza,Negativo
Traición,Negativo
Decepción,Negativo
Pesimismo,Negativo
Melancolía,Negativo
Desesperación,Negativo
Estrés,Negativo
Molestia,Negativo
Fastidio,Negativo
Irritación,Negativo
Enojo,Negativo
Falsificación,Negativo
Deshonesto,Negativo
Trampa,Negativo
Mentiroso,Negativo
Embuste,Negativo
Falsario,Negativo
Injurio,Negativo
Ofensa,Negativo
Agravio,Negativo
Ultraje,Negativo
Violento,Negativo
Brutalidad,Negativo
Abuso,Negativo
Acosador,Negativo
Denigrante,Negativo
Excluyente,Negativo
Intolerante,Negativo
Odioso,Negativo
Rencoroso,Negativo
Vengativo,Negativo
Enemistad,Negativo
Rivalidad,Negativo
Discordia,Negativo
Disputa,Negativo
Pelea,Negativo
Combate,Negativo
Batalla,Negativo
Destrucción,Negativo
Devastación,Negativo
Catástrofe,Negativo
Crisis,Negativo
Colapso,Negativo
Decadencia,Negativo
Deterioro,Negativo
Desgraciado,Negativo
Infeliz,Negativo
Lamentar,Negativo
Llorar,Negativo
Sufrir,Negativo
Padecer,Negativo
Agonía,Negativo
Tormento,Negativo
Tortura,Negativo
Martirio,Negativo
Calvario,Negativo
Pesadilla,Negativo
Maldición,Negativo
Desastre,Negativo
Calamidad,Negativo
Adversidad,Negativo
Infortunio,Negativo
Desventura,Negativo
Tragedia,Negativo
Drama,Negativo
Fatalidad,Negativo
Negación,Negativo
Rechazar,Negativo
Repudiar,Negativo
Odiar,Negativo
Detestar,Negativo
Abominar,Negativo
Execrar,Negativo
Maldecir,Negativo
Injuriar,Negativo
Insultar,Negativo
Ofender,Negativo
Agredir,Negativo
Atacar,Negativo
Golpear,Negativo
Herir,Negativo
Lastimar,Negativo
Dañar,Negativo
Perjudicar,Negativo
Arruinar,Negativo
Destrozar,Negativo
Romper,Negativo
Quebrar,Negativo
Fracturar,Negativo
Dividir,Negativo
Separar,Negativo
Aislar,Negativo
Marginar,Negativo
Excluir,Negativo
Segregar,Negativo
Discriminar,Negativo
Oprimir,Negativo
Reprimir,Negativo
Someter,Negativo
Esclavizar,Negativo
Explotar,Negativo
Abusar,Negativo
Maltratar,Negativo
Violentar,Negativo
Forzar,Negativo
Obligar,Negativo
Coaccionar,Negativo
Chantajear,Negativo
Extorsionar,Negativo
Amenazar,Negativo
Intimidar,Negativo
Asustar,Negativo
Aterrorizar,Negativo
Horrorizar,Negativo
Espantar,Negativo
Alarmar,Negativo
Preocupar,Negativo
Inquietar,Negativo
Perturbar,Negativo
Molestar,Negativo
Fastidiar,Negativo
Joder,Negativo
Cabron,Negativo
Pendejo,Negativo
Estupidez,Negativo
Necedad,Negativo
Ignorancia,Negativo
Ineptitud,Negativo
Incompetencia,Negativo
Incapacidad,Negativo
Torpeza,Negativo
Fracasar,Negativo
Perder,Negativo
Caer,Negativo
Hundir,Negativo
Naufragar,Negativo
Colapsar,Negativo
Quebrar,Negativo
Arruinarse,Negativo
Empobrecer,Negativo
Enfermar,Negativo
Morir,Negativo
Matar,Negativo
Asesinar,Negativo
Ejecutar,Negativo
Masacrar,Negativo
Exterminar,Negativo
Aniquilar,Negativo
Destruir,Negativo
Devastar,Negativo
Arrasar,Negativo
Asolar,Negativo
Desolar,Negativo
Saquear,Negativo
Robar,Negativo
Hurtar,Negativo
Estafar,Negativo
Defraudar,Negativo
Engañar,Negativo
Mentir,Negativo
Falsificar,Negativo
Adulterar,Negativo
Corromper,Negativo
Sobornar,Negativo
Complot,Negativo
Intriga,Negativo
Traición,Negativo
Deslealtad,Negativo
Infidelidad,Negativo
Alevosía,Negativo
Bajeza,Negativo
Vileza,Negativo
Maldad,Negativo
Perversidad,Negativo
Crueldad,Negativo
Sadismo,Negativo
Brutalidad,Negativo
Salvajismo,Negativo
Barbarie,Negativo
Atrocidad,Negativo
Monstruosidad,Negativo
Aberración,Negativo
Abominación,Negativo
Repulsión,Negativo
Aversión,Negativo
Antipatía,Negativo
Ojeriza,Negativo
Manía,Negativo
Enquina,Negativo
Tirria,Negativo
Odio,Negativo
Rencor,Negativo
Resentimiento,Negativo
Amargura,Negativo
Hiel,Negativo
Bilis,Negativo
Veneno,Negativo
Ponzoña,Negativo
Malicia,Negativo
Insidia,Negativo
Cizaña,Negativo
Discordia,Negativo
Disensión,Negativo
Desavenencia,Negativo
Desacuerdo,Negativo
Discrepancia,Negativo
Conflicto,Negativo
Litigio,Negativo
Pleito,Negativo
Disputa,Negativo
Contienda,Negativo
Lucha,Negativo
Pelea,Negativo
Riña,Negativo
Reyerta,Negativo
Camorra,Negativo
Bronca,Negativo
Jaleo,Negativo
Alboroto,Negativo
Tumulto,Negativo
Motín,Negativo
Revuelta,Negativo
Rebelión,Negativo
Sublevación,Negativo
Insurrección,Negativo
Sedición,Negativo
Golpe,Negativo
Dictadura,Negativo
Tiranía,Negativo
Despotismo,Negativo
Autocracia,Negativo
Totalitarismo,Negativo
Fascismo,Negativo
Nazismo,Negativo
Racismo,Negativo
Sexismo,Negativo
Machismo,Negativo
Feminicidio,Negativo
Homicidio,Negativo
Parricidio,Negativo
Infanticidio,Negativo
Genocidio,Negativo
Suicidio,Negativo
Eutanasia,Negativo
Aborto,Negativo
Muerte,Negativo
Cadáver,Negativo
Difunto,Negativo
Fallecido,Negativo
Muerto,Negativo
Víctima,Negativo
Damnificado,Negativo
Perjudicado,Negativo
Afectado,Negativo
Herido,Negativo
Lesionado,Negativo
Mutilado,Negativo
Discapacitado,Negativo
Enfermo,Negativo
Paciente,Negativo
Doliente,Negativo
Sufriente,Negativo
Pobre,Negativo
Miserable,Negativo
Indigente,Negativo
Mendigo,Negativo
Vagabundo,Negativo
Sin techo,Negativo
Desempleado,Negativo
Parado,Negativo
Ocioso,Negativo
Vago,Negativo
Holgazán,Negativo
Perezoso,Negativo
Negligente,Negativo
Descuidado,Negativo
Abandonado,Negativo
Solo,Negativo
Solitario,Negativo
Aislado,Negativo
Apartado,Negativo
Marginado,Negativo
Excluido,Negativo
Rechazado,Negativo
Repudiado,Negativo
Despreciado,Negativo
Odiado,Negativo
Temido,Negativo
Terrorífico,Negativo
Espeluznante,Negativo
Macabro,Negativo
Siniestro,Negativo
Tétrico,Negativo
Lúgubre,Negativo
Funesto,Negativo
Aciago,Negativo
Fatídico,Negativo
Mortal,Negativo
Letal,Negativo
Venenoso,Negativo
Tóxico,Negativo
Contaminante,Negativo
Infeccioso,Negativo
Contagioso,Negativo
Pestilente,Negativo
Maloliente,Negativo
Hediondo,Negativo
Fétido,Negativo
Podrido,Negativo
Corrupto,Negativo
Depravado,Negativo
Degenerado,Negativo
Pervertido,Negativo
Vicioso,Negativo
Inmoral,Negativo
Indecente,Negativo
Obsceno,Negativo
Pornográfico,Negativo
Escandaloso,Negativo
Vergonzoso,Negativo
Humillante,Negativo
Denigrante,Negativo
Degradante,Negativo
Indigno,Negativo
Bajo,Negativo
Rastrero,Negativo
Mezquino,Negativo
Tacaño,Negativo
Avaro,Negativo
Codicioso,Negativo
Ambicioso,Negativo
Egoísta,Negativo
Egocéntrico,Negativo
Narcisista,Negativo
Vanidoso,Negativo
Soberbio,Negativo
Arrogante,Negativo
Prepotente,Negativo
Altivo,Negativo
Orgulloso,Negativo
Presumido,Negativo
Fanfarrón,Negativo
Bocazas,Negativo
Hablador,Negativo
Charlatán,Negativo
Demagogo,Negativo
Populista,Negativo
Mentiroso,Negativo
Falso,Negativo
Hipócrita,Negativo
Fingido,Negativo
Simulado,Negativo
Artificial,Negativo
Sintético,Negativo
Plástico,Negativo
Postizo,Negativo
Irreal,Negativo
Ilusorio,Negativo
Quimérico,Negativo
Utopía,Negativo
Fantasía,Negativo
Alucinación,Negativo
Delirio,Negativo
Locura,Negativo
Demencia,Negativo
Insania,Negativo
Trastorno,Negativo
Perturbación,Negativo
Desequilibrio,Negativo
Inestabilidad,Negativo
Caída,Negativo
Bajada,Negativo
Descenso,Negativo
Declive,Negativo
Recesión,Negativo
Crisis,Negativo
Depresión,Negativo
Inflación,Negativo
Devaluación,Negativo
Pérdida,Negativo
Déficit,Negativo
Deuda,Negativo
Bancarrota,Negativo
Quiebra,Negativo
Ruina,Negativo
Desahucio,Negativo
Embargo,Negativo
Ejecución,Negativo
Liquidación,Negativo
Cierre,Negativo
Clausura,Negativo
Fin,Negativo
Terminación,Negativo
Conclusión,Negativo
Desenlace,Negativo
Muerte,Negativo
Óbito,Negativo
Deceso,Negativo
Defunción,Negativo
Fallecimiento,Negativo
Entierro,Negativo
Sepelio,Negativo
Funeral,Negativo
Duelo,Negativo
Luto,Negativo
Pésame,Negativo
Condolencia,Negativo
Tristeza,Negativo
Pena,Negativo
Dolor,Negativo
Aflicción,Negativo
Amargura,Negativo
Desconsuelo,Negativo
Desesperanza,Negativo
Abatimiento,Negativo
Decaimiento,Negativo
Desánimo,Negativo
Desaliento,Negativo
Verdad,Positivo
Real,Positivo
Hecho,Positivo
Evidencia,Positivo
Prueba,Positivo
Ciencia,Positivo
Dato,Positivo
Verificado,Positivo
Auténtico,Positivo
Genuino,Positivo
Oficial,Positivo
Legítimo,Positivo
Honesto,Positivo
Sincero,Positivo
Transparencia,Positivo
Confianza,Positivo
Credibilidad,Positivo
Seguridad,Positivo
Garantía,Positivo
Certeza,Positivo
Exacto,Positivo
Preciso,Positivo
Correcto,Positivo
Fiable,Positivo
Objetivo,Positivo
Imparcial,Positivo
Justicia,Positivo
Ley,Positivo
Derecho,Positivo
Educación,Positivo
Información,Positivo
Conocimiento,Positivo
Sabiduría,Positivo
Experto,Positivo
Estudio,Positivo
Rigor,Positivo
Comprobado,Positivo
Fáctico,Positivo
Validado,Positivo
Certificado,Positivo
Original,Positivo
Fidedigno,Positivo
Claro,Positivo
Claridad,Positivo
Limpio,Positivo
Puro,Positivo
Integridad,Positivo
Ética,Positivo
Moral,Positivo
Responsabilidad,Positivo
Amor,Positivo
Amistad,Positivo
Cariño,Positivo
Afecto,Positivo
Abrazo,Positivo
Beso,Positivo
Apoyo,Positivo
Ayuda,Positivo
Solidaridad,Positivo
Cooperación,Positivo
Colaboración,Positivo
Unión,Positivo
Equipo,Positivo
Comunidad,Positivo
Familia,Positivo
Hermandad,Positivo
Empatía,Positivo
Compasión,Positivo
Bondad,Positivo
Generosidad,Positivo
Gratitud,Positivo
Respeto,Positivo
Tolerancia,Positivo
Inclusión,Positivo
Diversidad,Positivo
Igualdad,Positivo
Libertad,Positivo
Paz,Positivo
Armonía,Positivo
Conciliación,Positivo
Diálogo,Positivo
Acuerdo,Positivo
Consenso,Positivo
Perdón,Positivo
Reconciliación,Positivo
Amabilidad,Positivo
Cortesía,Positivo
Comprensión,Positivo
Aceptación,Positivo
Protección,Positivo
Cuidado,Positivo
Aliento,Positivo
Consuelo,Positivo
Refugio,Positivo
Hogar,Positivo
Aliado,Positivo
Socio,Positivo
Compañero,Positivo
Felicidad,Positivo
Alegría,Positivo
Gozo,Positivo
Placer,Positivo
Disfrute,Positivo
Diversión,Positivo
Risa,Positivo
Sonrisa,Positivo
Bienestar,Positivo
Salud,Positivo
Vida,Positivo
Vitalidad,Positivo
Energía,Positivo
Fuerza,Positivo
Poder,Positivo
Vigor,Positivo
Éxito,Positivo
Triunfo,Positivo
Victoria,Positivo
Logro,Positivo
Ganancia,Positivo
Beneficio,Positivo
Prosperidad,Positivo
Riqueza,Positivo
Abundancia,Positivo
Lujo,Positivo
Calidad,Positivo
Excelencia,Positivo
Brillante,Positivo
Genial,Positivo
Maravilloso,Positivo
Fantástico,Positivo
Estupendo,Positivo
Increíble,Positivo
Hermoso,Positivo
Bello,Positivo
Lindo,Positivo
Bonito,Positivo
Guapo,Positivo
Atractivo,Positivo
Encanto,Positivo
Magia,Positivo
Ilusión,Positivo
Esperanza,Positivo
Fe,Positivo
Optimismo,Positivo
Positivo,Positivo
Ánimo,Positivo
Motivación,Positivo
Inspiración,Positivo
Creatividad,Positivo
Talento,Positivo
Inteligencia,Positivo
Habilidad,Positivo
Destreza,Positivo
Maestría,Positivo
Sabio,Positivo
Líder,Positivo
Héroe,Positivo
Premio,Positivo
Recompensa,Positivo
Regalo,Positivo
Sorpresa,Positivo
Aventura,Positivo
Descubrimiento,Positivo
Progreso,Positivo
Avance,Positivo
Mejora,Positivo
Solución,Positivo
Oportunidad,Positivo
Futuro,Positivo
Satisfecho,Positivo
Orgullo,Positivo
Valentía,Positivo
Calma,Positivo
Tranquilidad,Positivo
Relajación,Positivo
Paz mental,Positivo
Equilibrio,Positivo
Honradez,Positivo
Lealtad,Positivo
Fidelidad,Positivo
Constancia,Positivo
Perseverancia,Positivo
Tenacidad,Positivo
Esfuerzo,Positivo
Trabajo,Positivo
Dedicación,Positivo
Entrega,Positivo
Pasión,Positivo
Entusiasmo,Positivo
Interés,Positivo
Curiosidad,Positivo
Atención,Positivo
Concentración,Positivo
Enfoque,Positivo
Determinación,Positivo
Voluntad,Positivo
Decisión,Positivo
Seguro,Positivo
Protegido,Positivo
Defendido,Positivo
Amparado,Positivo
Salvado,Positivo
Rescatado,Positivo
Liberado,Positivo
Independiente,Positivo
Autónomo,Positivo
Soberano,Positivo
Libre,Positivo
Justo,Positivo
Equitativo,Positivo
Imparcial,Positivo
Neutral,Positivo
Objetivo,Positivo
Racional,Positivo
Lógico,Positivo
Coherente,Positivo
Sensato,Positivo
Prudente,Positivo
Cauto,Positivo
Previsor,Positivo
Organizado,Positivo
Ordenado,Positivo
Limpio,Positivo
Pulcro,Positivo
Impecable,Positivo
Perfecto,Positivo
Excelente,Positivo
Superior,Positivo
Supremo,Positivo
Máximo,Positivo
Óptimo,Positivo
Ideal,Positivo
Modelo,Positivo
Ejemplo,Positivo
Guía,Positivo
Maestro,Positivo
Mentor,Positivo
Tutor,Positivo
Educador,Positivo
Formador,Positivo
Instructor,Positivo
Profesor,Positivo
Científico,Positivo
Investigador,Positivo
Descubridor,Positivo
Inventor,Positivo
Creador,Positivo
Artista,Positivo
Genio,Positivo
Talento,Positivo
Prodigio,Positivo
Virtuoso,Positivo
Experto,Positivo
Especialista,Positivo
Profesional,Positivo
Técnico,Positivo
Habilidoso,Positivo
Capaz,Positivo
Competente,Positivo
Eficaz,Positivo
Eficiente,Positivo
Productivo,Positivo
Fructífero,Positivo
Provechoso,Positivo
Útil,Positivo
Servicial,Positivo
Atento,Positivo
Cortés,Positivo
Educado,Positivo
Respetuoso,Positivo
Considerado,Positivo
Amable,Positivo
Afable,Positivo
Cordial,Positivo
Simpático,Positivo
Agradable,Positivo
Encantador,Positivo
Fascinante,Positivo
Cautivador,Positivo
Atractivo,Positivo
Seductor,Positivo
Irresistible,Positivo
Admirable,Positivo
Apreciable,Positivo
Estimable,Positivo
Valioso,Positivo
Precioso,Positivo
Rico,Positivo
Acaudalado,Positivo
Próspero,Positivo
Afortunado,Positivo
Dichoso,Positivo
Feliz,Positivo
Contento,Positivo
Alegre,Positivo
Jovial,Positivo
Animado,Positivo
Vivaz,Positivo
Vital,Positivo
Enérgico,Positivo
Dinámico,Positivo
Activo,Positivo
Fuerte,Positivo
Robusto,Positivo
Sano,Positivo
Saludable,Positivo
Vigoroso,Positivo
Potente,Positivo
Poderoso,Positivo
Influyente,Positivo
Prestigioso,Positivo
Famoso,Positivo
Célebre,Positivo
Popular,Positivo
Reconocido,Positivo
Distinguido,Positivo
Ilustre,Positivo
Eminente,Positivo
Notable,Positivo
Sobresaliente,Positivo
Destacado,Positivo
Importante,Positivo
Relevante,Positivo
Significativo,Positivo
Trascendente,Positivo
Esencial,Positivo
Fundamental,Positivo
Vital,Positivo
Crucial,Positivo
Decisivo,Positivo
Definitivo,Positivo
Concluyente,Positivo
Rotundo,Positivo
Absoluto,Positivo
Total,Positivo
Completo,Positivo
Integro,Positivo
Pleno,Positivo
Lleno,Positivo
Colmado,Positivo
Saciado,Positivo
Satisfecho,Positivo
Complacido,Positivo
Gustoso,Positivo
Encantado,Positivo
Fascinado,Positivo
Maravillado,Positivo
Asombrado,Positivo
Sorprendido,Positivo
Admirado,Positivo
Extasiado,Positivo
Emocionado,Positivo
Conmovido,Positivo
Impresionado,Positivo
Impactado,Positivo
Alucinado,Positivo
Flipado,Positivo
Loco,Positivo
Apasionado,Positivo
Enamorado,Positivo
Cariñoso,Positivo
Tierno,Positivo
Dulce,Positivo
Suave,Positivo
Delicado,Positivo
Fino,Positivo
Elegante,Positivo
Distinguido,Positivo
Selecto,Positivo
Exquisito,Positivo
Delicioso,Positivo
Sabroso,Positivo
Rico,Positivo
Gustoso,Positivo
Apetitoso,Positivo
Suculento,Positivo
Nutritivo,Positivo
Alimenticio,Positivo
Sustancioso,Positivo
Beneficioso,Positivo
Favorable,Positivo
Propicio,Positivo
Ventajoso,Positivo
Conveniente,Positivo
Adecuado,Positivo
Apropiado,Positivo
Oportuno,Positivo
Pertinente,Positivo
Acertado,Positivo
Atinado,Positivo
Correcto,Positivo
Justo,Positivo
Preciso,Positivo
Exacto,Positivo
Riguroso,Positivo
Estricto,Positivo
Severo,Positivo
Serio,Positivo
Formal,Positivo
Solemne,Positivo
Grave,Positivo
Importante,Positivo
Trascendental,Positivo
Magistral,Positivo
Soberbio,Positivo
Grandioso,Positivo
Magnífico,Positivo
Espléndido,Positivo
Fastuoso,Positivo
Lujoso,Positivo
Opulento,Positivo
Rico,Positivo
Abundante,Positivo
Copioso,Positivo
Numeroso,Positivo
Múltiple,Positivo
Variado,Positivo
Diverso,Positivo
Distinto,Positivo
Diferente,Positivo
Original,Positivo
Novedoso,Positivo
Innovador,Positivo
Revolucionario,Positivo
Vanguardista,Positivo
Moderno,Positivo
Actual,Positivo
Contemporáneo,Positivo
Nuevo,Positivo
Reciente,Positivo
Fresco,Positivo
Joven,Positivo
Juvenil,Positivo
Adolescente,Positivo
Infantil,Positivo
Inocente,Positivo
Puro,Positivo
Virgen,Positivo
Casto,Positivo
Limpio,Positivo
Claro,Positivo
Diáfano,Positivo
Transparente,Positivo
Luminoso,Positivo
Brillante,Positivo
Radiante,Positivo
Resplandeciente,Positivo
Reluciente,Positivo
Centelleante,Positivo
Destellante,Positivo
Fulgurante,Positivo
Deslumbrante,Positivo
Cegador,Positivo
Intenso,Positivo
Fuerte,Positivo
Potente,Positivo
Vigoroso,Positivo
Enérgico,Positivo
Activo,Positivo
Dinámico,Positivo
Ágil,Positivo
Rápido,Positivo
Veloz,Positivo
Celeridad,Positivo
Presteza,Positivo
Prontitud,Positivo
Diligencia,Positivo
Eficiencia,Positivo
Eficacia,Positivo
Rendimiento,Positivo
Productividad,Positivo
Utilidad,Positivo
Provecho,Positivo
Ventaja,Positivo
Beneficio,Positivo
Ganancia,Positivo
Lucro,Positivo
Renta,Positivo
Interés,Positivo
Dividendo,Positivo
Plusvalía,Positivo
Valor,Positivo
Precio,Positivo
Coste,Positivo
Importe,Positivo
Suma,Positivo
Cantidad,Positivo
Monto,Positivo
Total,Positivo
Resultado,Positivo
Producto,Positivo
Fruto,Positivo
Cosecha,Positivo
Recolección,Positivo
Obtención,Positivo
Logro,Positivo
Consecución,Positivo
Adquisición,Positivo
Compra,Positivo
Inversión,Positivo
Gasto,Positivo
Consumo,Positivo
Disfrute,Positivo
Goce,Positivo
Placer,Positivo
Deleite,Positivo
Satisfacción,Positivo
Agrada,Positivo
Gusto,Positivo
Sabor,Positivo
Paladar,Positivo
Apetito,Positivo
Hambre,Positivo
Sed,Positivo
Ganas,Positivo
Deseo,Positivo
Anhelo,Positivo
Ansia,Positivo
Afán,Positivo
Empeño,Positivo
Tesón,Positivo
Constancia,Positivo
Firmeza,Positivo
Estabilidad,Positivo
Seguridad,Positivo
Certeza,Positivo
Convicción,Positivo
Creencia,Positivo
Fe,Positivo
Esperanza,Positivo
Ilusión,Positivo
Sueño,Positivo
Utopía,Positivo
Ideal,Positivo
Meta,Positivo
Objetivo,Positivo
Fin,Positivo
Propósito,Positivo
Intención,Positivo
Voluntad,Positivo
Querer,Positivo
Amar,Positivo
Adorar,Positivo
Idolatrar,Positivo
Venerar,Positivo
Respetar,Positivo
Admirar,Positivo
Apreciar,Positivo
Estimar,Positivo
Valorar,Positivo
Considerar,Positivo
Tener en cuenta,Positivo
Cuidar,Positivo
Proteger,Positivo
Defender,Positivo
Amparar,Positivo
Ayudar,Positivo
Auxiliar,Positivo
Socorrer,Positivo
Asistir,Positivo
Colaborar,Positivo
Cooperar,Positivo
Contribuir,Positivo
Participar,Positivo
Intervenir,Positivo
Actuar,Positivo
Obrar,Positivo
Hacer,Positivo
Realizar,Positivo
Ejecutar,Positivo
Llevar a cabo,Positivo
Cumplir,Positivo
Satisfacer,Positivo
Llenar,Positivo
Colmar,Positivo
Saturar,Positivo
Hartar,Positivo
Cansar,Positivo
Fatigar,Positivo
Agotar,Positivo
Extenuar,Positivo
Debilitar,Positivo
Enflaquecer,Positivo
Adelgazar,Positivo
Perder peso,Positivo
Ganar,Positivo
Vencer,Positivo
Derrotar,Positivo
Batir,Positivo
Superar,Positivo
Aventajar,Positivo
Exceder,Positivo
Sobresalir,Positivo
Destacar,Positivo
Brillar,Positivo
Lucir,Positivo
Resplandecer,Positivo
Iluminar,Positivo
Alumbrar,Positivo
Esclarecer,Positivo
Aclarar,Positivo
Explicar,Positivo
Exponer,Positivo
Manifestar,Positivo
Declarar,Positivo
Proclamar,Positivo
Anunciar,Positivo
Publicar,Positivo
Difundir,Positivo
Propagar,Positivo
Divulgar,Positivo
Extender,Positivo
Expandir,Positivo
Ampliar,Positivo
Aumentar,Positivo
Incrementar,Positivo
Crecer,Positivo
Desarrollar,Positivo
Evolucionar,Positivo
Progresar,Positivo
Avanzar,Positivo
Mejorar,Positivo
Perfeccionar,Positivo
Optimizar,Positivo
Potenciar,Positivo
Fomentar,Positivo
Promover,Positivo
Impulsar,Positivo
Estimular,Positivo
Incentivar,Positivo
Animar,Positivo
Alentar,Positivo
Confortar,Positivo
Consolar,Positivo
Aliviar,Positivo
Mitigar,Positivo
Calmar,Positivo
Tranquilizar,Positivo
Sosiegar,Positivo
Pacificar,Positivo
Apaciguar,Positivo
Serenar,Positivo
Relajar,Positivo
Distender,Positivo
Aflojar,Positivo
Soltar,Positivo
Liberar,Positivo
Emancipar,Positivo
Independizar,Positivo
Autonomía,Positivo
Soberanía,Positivo
Libertad,Positivo
Albedrío,Positivo
Voluntad,Positivo
Decisión,Positivo
Elección,Positivo
Opción,Positivo
Alternativa,Positivo
Posibilidad,Positivo
Oportunidad,Positivo
Ocasión,Positivo
Coyuntura,Positivo
Momento,Positivo
Tiempo,Positivo
Espacio,Positivo
Lugar,Positivo
Sitio,Positivo
Puesto,Positivo
Cargo,Positivo
Empleo,Positivo
Trabajo,Positivo
Oficio,Positivo
Profesión,Positivo
Carrera,Positivo
Estudios,Positivo
Formación,Positivo
Educación,Positivo
Enseñanza,Positivo
Instrucción,Positivo
Aprendizaje,Positivo
Conocimiento,Positivo
Saber,Positivo
Ciencia,Positivo
Cultura,Positivo
Arte,Positivo
Literatura,Positivo
Música,Positivo
Pintura,Positivo
Escultura,Positivo
Arquitectura,Positivo
Cine,Positivo
Teatro,Positivo
Danza,Positivo
Baile,Positivo
Deporte,Positivo
Juego,Positivo
Diversión,Positivo
Entretenimiento,Positivo
Pasatiempo,Positivo
Hobby,Positivo
Afición,Positivo
Gusto,Positivo
Placer,Positivo
Deleite,Positivo
Goce,Positivo
Disfrute,Positivo
Satisfacción,Positivo
Bienestar,Positivo
Salud,Positivo
Sanidad,Positivo
Higiene,Positivo
Limpieza,Positivo
Aseo,Positivo
Pulcritud,Positivo
Orden,Positivo
Organización,Positivo
Estructura,Positivo
Sistema,Positivo
Método,Positivo
Procedimiento,Positivo
Técnica,Positivo
Estrategia,Positivo
Táctica,Positivo
Plan,Positivo
Proyecto,Positivo
Programa,Positivo
Diseño,Positivo
Esquema,Positivo
Modelo,Positivo
Patrón,Positivo
Norma,Positivo
Regla,Positivo
Ley,Positivo
Estatuto,Positivo
Decreto,Positivo
Ordenanza,Positivo
Mandato,Positivo
Orden,Positivo
Comando,Positivo
Dirección,Positivo
Gestión,Positivo
Administración,Positivo
Gobierno,Positivo
Poder,Positivo
Autoridad,Positivo
Mando,Positivo
Dominio,Positivo
Control,Positivo
Supervisión,Positivo
Vigilancia,Positivo
Custodia,Positivo
Guarda,Positivo
Defensa,Positivo
Protección,Positivo
